id,host_id,neighbourhood_group,neighbourhood,room_type,latitude,longitude,price,price_capped,price_log10,minimum_nights,minimum_nights_capped,number_of_reviews,number_of_reviews_ltm,reviews_per_month,calculated_host_listings_count,availability_365,last_review,license
6624,15016,Isole,Santa Croce,Entire home/apt,45.43977,12.32736,294.0,294.0,2.4683473304121573,4,4,90,2,0.53,2,343,2025-07-03,IT027042C2R5QEM2Z5
12074,15016,Isole,San Polo,Entire home/apt,45.43853,12.3297,205.0,205.0,2.311753861055754,4,4,202,0,1.08,2,313,2024-06-01,IT027042C2HFAFX7HB
44527,120215,Isole,Cannaregio,Entire home/apt,45.44569,12.32902,372.0,372.0,2.5705429398818973,2,2,150,8,0.86,2,290,2025-06-10,IT027042B4GR0PSZS4
47383,214390,Isole,San Polo,Hotel room,45.43793,12.33246,122.0,122.0,2.0863598306747484,2,2,429,30,2.35,4,323,2025-08-13,IT027042B4D3D4AUUS
49656,226598,Isole,Dorsoduro,Entire home/apt,45.43549,12.32612,150.0,150.0,2.1760912590556813,3,3,140,15,0.89,2,287,2025-08-27,IT027042C2L6NZYNJR
60304,290452,Isole,Cannaregio,Private room,45.44453,12.333,170.0,170.0,2.230448921378274,1,1,160,0,0.93,2,152,2023-05-06,IT027042B4JG3TJH56
61714,289023,Isole,Giudecca,Private room,45.42708,12.31823,129.0,129.0,2.110589710299249,2,2,481,33,2.72,2,241,2025-08-22,IT027042C1NT8RRIFS
69877,351965,Isole,Dorsoduro,Private room,45.4338,12.32527,158.0,158.0,2.1986570869544226,2,2,6,0,0.04,3,304,2017-05-11,IT027042B4XVN5TFC6
71735,368293,Isole,San Marco,Entire home/apt,45.43367,12.33639,166.0,166.0,2.220108088040055,3,3,217,22,1.25,3,261,2025-07-27,IT027042C2LG7GAX8J
71874,369642,Isole,Santa Croce,Private room,45.44204,12.32694,82.0,82.0,1.9138138523837167,1,1,154,31,0.95,2,265,2025-08-26,IT027042B40Z6IVYGS
72740,377929,Terraferma,Favaro,Entire home/apt,45.50793,12.28336,92.0,92.0,1.9637878273455553,3,3,445,28,2.55,5,34,2025-07-27,IT027042B4I8XOSCJH
74042,9609304,Isole,Castello,Entire home/apt,45.43369,12.35051,116.0,116.0,2.0644579892269186,3,3,534,7,3.08,3,30,2025-08-22,IT027042C21DFDGOQF
74272,390175,Isole,Castello,Entire home/apt,45.43331,12.35038,97.0,97.0,1.9867717342662448,3,3,382,35,2.18,2,262,2025-09-07,IT027042B48PUBNHNE
75376,399883,Isole,San Marco,Entire home/apt,45.43517,12.33554,167.0,167.0,2.2227164711475833,3,3,215,9,1.27,4,316,2025-07-01,IT027042C2ASCXYP2A
75994,399883,Isole,San Marco,Entire home/apt,45.43746,12.337,183.0,183.0,2.2624510897304293,3,3,188,15,1.1,4,297,2025-08-30,IT027042C2B4V69NTJ
77188,390175,Isole,Castello,Entire home/apt,45.43300234450528,12.348828735234395,108.0,108.0,2.03342375548695,3,3,396,23,2.3,2,255,2025-08-24,IT027042B4AOB4F4ZO
80403,434492,Isole,Dorsoduro,Entire home/apt,45.4342,12.31943,142.0,142.0,2.1522883443830563,3,3,69,9,0.4,1,257,2025-09-03,IT027042C2W9WLS6KL
83610,434231,Isole,Castello,Entire home/apt,45.43442,12.34854,126.0,126.0,2.100370545117563,31,31,9,0,0.06,1,195,2024-09-05,
92159,289023,Isole,Giudecca,Private room,45.42703,12.31827,115.0,115.0,2.060697840353612,2,2,461,24,2.66,2,252,2025-07-28,IT027042C1NT8RRIFS
129278,485439,Isole,Lido,Entire home/apt,45.40782,12.36728,300.0,300.0,2.4771212547196626,14,14,8,0,0.05,1,68,2021-08-17,IT027042B4QKHFROYV
130605,642936,Isole,Santa Croce,Private room,45.44008478520303,12.322226455906147,89.0,89.0,1.9493900066449128,3,3,463,36,2.71,2,317,2025-09-05,IT027042B49J4K5SRT
139786,669047,Isole,San Marco,Entire home/apt,45.4349,12.32989,270.0,270.0,2.4313637641589874,1,1,54,2,0.33,81,279,2025-06-09,IT027042C2SFGV4HX5
139802,669047,Isole,San Marco,Entire home/apt,45.43467,12.32831,323.0,323.0,2.509202522331103,1,1,74,7,0.48,81,276,2025-07-31,IT027042C2BWCQVU8S
142085,1878243,Isole,Cannaregio,Entire home/apt,45.44242,12.33955,125.0,125.0,2.0969100130080562,5,5,510,38,2.97,3,46,2025-07-24,IT027042C2TFCZAQLV
145324,703872,Isole,Cannaregio,Private room,45.44211,12.33928,93.0,93.0,1.968482948553935,1,1,558,49,3.24,3,1,2025-08-17,IT027042C2256VY8PB
145631,704911,Terraferma,Villaggio San Marco,Private room,45.4832,12.2586,74.0,74.0,1.8692317197309762,1,1,744,50,4.31,2,360,2025-08-20,IT027042C2GNPKT4HU
146821,709828,Isole,Castello,Entire home/apt,45.43101,12.35369,449.0,449.0,2.6522463410033232,3,3,173,8,1.1,2,238,2025-09-05,IT027042C2UHFRQ4IW
148299,716234,Isole,Castello,Hotel room,45.4362,12.34389,158.0,158.0,2.1986570869544226,2,2,63,15,0.37,3,38,2025-08-29,IT027042B4OTJ42DZR
149749,722130,Isole,Cannaregio,Entire home/apt,45.44087,12.34119,213.0,213.0,2.3283796034387376,1,1,297,1,1.75,1,186,2024-10-14,IT027042C2PDZCDOFU
155015,745553,Isole,Santa Croce,Entire home/apt,45.44085,12.32833,148.0,148.0,2.1702617153949575,3,3,395,14,2.33,4,283,2025-08-25,IT027042C2W7KMXRW5
156728,745553,Isole,Santa Croce,Entire home/apt,45.44019,12.33174,217.0,217.0,2.3364597338485296,3,3,302,21,1.82,4,278,2025-08-19,IT027042C227TF7PPF
160426,766256,Isole,Dorsoduro,Entire home/apt,45.4341,12.3211,209.0,209.0,2.320146286111054,3,3,447,33,2.59,2,210,2025-08-22,IT027042C2WUZQK3RE
163685,781124,Isole,Cannaregio,Entire home/apt,45.44651,12.32536,98.0,98.0,1.9912260756924949,1,1,468,29,2.96,1,249,2025-09-10,IT027042C2B95QBGWL
165705,716234,Isole,Castello,Hotel room,45.4354,12.34202,89.0,89.0,1.9493900066449128,2,2,246,26,1.43,3,34,2025-09-09,IT027042B4OTJ42DZR
166381,214390,Isole,San Polo,Hotel room,45.43821,12.3328,120.0,120.0,2.0791812460476247,2,2,488,47,3.49,4,310,2025-08-17,IT027042B4D3D4AUUS
167145,796717,Isole,San Marco,Entire home/apt,45.43528,12.33741,164.0,164.0,2.214843848047698,2,2,204,5,1.19,1,142,2025-09-05,IT027042C2BK9DY4JI
167168,214390,Isole,San Polo,Entire home/apt,45.439,12.3319,505.0,505.0,2.7032913781186614,4,4,14,0,0.11,4,358,2024-01-03,IT027042B4D3D4AUUS
170523,813513,Terraferma,San Lorenzo XXV Aprile,Entire home/apt,45.49611,12.24975,69.0,69.0,1.8388490907372552,5,5,261,23,1.52,2,350,2025-09-07,IT027042C2CKH6EKIG
217591,1123859,Isole,Castello,Entire home/apt,45.43561,12.34661,209.0,209.0,2.320146286111054,2,2,54,8,0.32,1,140,2025-08-28,It027042c22h9t6ifl
218393,813513,Terraferma,San Lorenzo XXV Aprile,Entire home/apt,45.49621,12.24804,59.0,59.0,1.7708520116421442,5,5,258,15,1.52,2,322,2025-07-04,IT027042C2CKH6EKIG
220238,693554,Isole,Castello,Entire home/apt,45.43125,12.35303,165.0,165.0,2.2174839442139063,3,3,324,32,1.91,1,107,2025-08-24,IT027042C2RIA4GVMF
234465,1227993,Isole,Dorsoduro,Entire home/apt,45.43176,12.31932,140.0,140.0,2.146128035678238,3,3,60,9,0.36,1,48,2025-08-16,IT027042C2KUWHW2JG
236585,1240373,Isole,Lido,Entire home/apt,45.4178,12.37249,114.0,114.0,2.0569048513364727,3,3,254,24,1.51,1,252,2025-08-27,IT027042C2VDXIAAXV
238362,564594,Terraferma,Tessera,Private room,45.5032,12.32058,135.0,135.0,2.130333768495006,1,1,85,2,0.54,3,311,2025-04-05,IT027042B4S6WQ6PLR
238374,564594,Terraferma,Tessera,Private room,45.5032,12.32058,142.0,142.0,2.1522883443830563,1,1,105,2,0.65,3,348,2025-05-06,IT027042B4S6WQ6PLR
238380,564594,Terraferma,Tessera,Private room,45.5032,12.32058,124.0,124.0,2.093421685162235,1,1,72,6,0.45,3,315,2025-05-17,IT027042B4S6WQ6PLR
246649,1275479,Isole,Dorsoduro,Entire home/apt,45.4365,12.32223,164.0,164.0,2.214843848047698,3,3,443,39,2.65,3,290,2025-08-25,IT027042C258M2CQZM
256874,1351366,Isole,Castello,Private room,45.43625,12.3456,116.0,116.0,2.0644579892269186,4,4,28,1,0.17,2,330,2024-10-28,IT027042B4IXU5WOT8
260204,1365288,Isole,Santa Croce,Entire home/apt,45.44199,12.32915,81.0,81.0,1.9084850188786497,5,5,219,14,1.31,2,258,2025-07-25,IT027042C2LNUJWRXG
260487,1366623,Isole,Giudecca,Entire home/apt,45.42833,12.31972,146.0,146.0,2.164352855784437,1,1,447,30,2.71,1,138,2025-08-01,IT027042C2QUZP7JS3
261432,1365288,Isole,Cannaregio,Entire home/apt,45.44341,12.32901,75.0,75.0,1.8750612633917,5,5,242,22,1.44,2,304,2025-08-06,IT027042C2LNUJWRXG
261640,1351366,Isole,Castello,Private room,45.43627,12.34559,128.0,128.0,2.1072099696478683,3,3,64,3,0.46,2,334,2025-06-16,IT027042B4IXU5WOT8
263796,1384217,Isole,Santa Croce,Entire home/apt,45.4392,12.32712,276.0,276.0,2.4409090820652177,3,3,21,4,0.17,7,247,2025-06-29,IT027042B48D6LN8TK
272585,1426634,Isole,Dorsoduro,Entire home/apt,45.43069,12.33514,212.0,212.0,2.3263358609287517,2,2,124,1,0.76,1,336,2024-11-03,IT027042C2BKXHSJUK
284305,1480780,Terraferma,Marghera,Entire home/apt,45.478,12.2267,91.0,91.0,1.9590413923210936,3,3,345,22,2.07,1,320,2025-08-20,IT027042C2QL8FEGHP
289477,377929,Terraferma,Favaro,Entire home/apt,45.50914,12.28159,101.0,101.0,2.0043213737826426,5,5,38,0,0.25,5,49,2022-10-15,IT027042B4AJVFMJC7
293520,1517643,Isole,San Polo,Entire home/apt,45.43731,12.33015,171.0,171.0,2.2329961103921536,7,7,103,6,0.67,1,298,2025-06-06,IT027042C2MA2KM7WG
298479,1514413,Terraferma,Piave 1860,Private room,45.48566,12.23433,57.0,57.0,1.7558748556724915,1,1,275,5,1.68,11,74,2025-08-14,IT027042B4A49HLBZY
303046,1560575,Isole,Cannaregio,Private room,45.4438362121582,12.326510429382324,116.0,116.0,2.0644579892269186,2,2,315,12,1.92,2,103,2025-05-04,IT027042C22VVCUUQT
309411,1275479,Isole,Santa Croce,Entire home/apt,45.43921,12.32438,150.0,150.0,2.1760912590556813,3,3,465,30,2.82,3,149,2025-08-16,IT027042C2TCTQE897
311472,1602219,Isole,Sant'Elena,Entire home/apt,45.42849,12.36067,135.0,135.0,2.130333768495006,4,4,1,0,0.03,4,351,2022-09-12,IT02704201HY9EH5F4
314094,1613872,Isole,San Marco,Entire home/apt,45.43568,12.33909,180.0,180.0,2.255272505103306,2,2,169,27,1.04,1,180,2025-09-02,IT027042C2N3UVGXNR
314923,1617572,Isole,Castello,Private room,45.432918548583984,12.353280067443848,109.0,109.0,2.037426497940624,2,2,125,19,0.82,20,263,2025-08-26,IT027042B4Y6AQDRLO
315636,1514413,Terraferma,Piave 1860,Private room,45.48566,12.23433,60.0,60.0,1.7781512503836436,1,1,180,2,1.2,11,62,2025-04-11,IT027042B4A49HLBZY
315637,1514413,Terraferma,Piave 1860,Private room,45.4860105077097,12.235281840250524,58.0,58.0,1.7634279935629373,1,1,150,8,1.0,11,71,2025-08-08,IT027042B4A49HLBZY
317329,6747473,Isole,Sant'Elena,Entire home/apt,45.42659,12.36171,99.0,99.0,1.99563519459755,2,2,219,21,1.39,1,28,2025-09-10,IT027042C2BQPIDZUI
321376,1646068,Isole,Cannaregio,Entire home/apt,45.44507,12.32074,155.0,155.0,2.1903316981702914,2,2,202,41,1.57,4,327,2025-08-16,IT027042C2AWBMDXOC
331151,1688828,Isole,Castello,Entire home/apt,45.43718,12.33836,133.0,133.0,2.123851640967086,3,3,44,0,0.32,2,52,2021-11-29,IT027042C2R96GJEBP
332932,1445896,Isole,Castello,Entire home/apt,45.43177,12.35309,120.0,120.0,2.0791812460476247,4,4,204,18,1.26,1,196,2025-09-06,IT027042C2C6WENGME
335961,1364177,Isole,Sant'Elena,Entire home/apt,45.42619,12.36078,307.0,307.0,2.4871383754771865,3,3,86,5,0.69,2,45,2025-07-19,IT027042C2A2DFGNBB
340882,1729833,Isole,Castello,Entire home/apt,45.43544,12.34718,101.0,101.0,2.0043213737826426,3,3,167,26,1.03,3,262,2025-09-03,IT027042C2KZ4SLCWD
343849,669047,Isole,Dorsoduro,Entire home/apt,45.43185,12.32462,447.0,447.0,2.6503075231319366,1,1,24,0,0.2,81,279,2022-10-23,IT027042B4MRIF8I43
344046,1729833,Isole,Cannaregio,Entire home/apt,45.43971,12.33779,40.0,40.0,1.6020599913279625,26,26,115,3,0.71,3,223,2025-08-31,IT027042C2QB8UN67Q
346183,1755160,Isole,San Polo,Entire home/apt,45.43845,12.32478,156.0,156.0,2.1931245983544616,3,3,184,4,1.62,1,81,2025-09-03,IT027042C2KU2SGPVN
346257,1755413,Isole,Castello,Entire home/apt,45.43015,12.3584,149.0,149.0,2.173186268412274,5,5,117,19,1.04,2,72,2025-08-24,IT027042B44VBTF97A
348409,1765622,Isole,San Marco,Entire home/apt,45.43453,12.33624,375.0,375.0,2.574031267727719,3,3,271,44,2.36,1,241,2025-08-26,IT027042C2EKEGK7CC
352392,1784535,Isole,San Marco,Entire home/apt,45.43469,12.33944,391.0,391.0,2.5921767573958667,2,2,441,66,3.42,4,122,2025-09-07,IT027042C2YQ3AVHY7
356388,642936,Isole,Cannaregio,Private room,45.44080781081406,12.321247048101396,98.0,98.0,1.9912260756924949,2,2,655,61,4.01,2,279,2025-09-04,IT027042B49J4K5SRT
357073,1567140,Isole,Murano,Entire home/apt,45.45617,12.35442,209.0,209.0,2.320146286111054,1,1,422,15,2.59,4,305,2025-09-05,IT027042C2S8YKDRFN
366808,1851989,Isole,Cannaregio,Private room,45.44448,12.3268,248.0,248.0,2.3944516808262164,1,1,18,4,1.05,7,336,2025-06-11,IT027042B4MXYJ4ISZ
369257,1862349,Isole,Castello,Entire home/apt,45.43729,12.33971,148.0,148.0,2.1702617153949575,3,3,437,63,3.01,4,217,2025-09-06,it027042b4vbb6crfa
372379,619545,Isole,Santa Croce,Entire home/apt,45.44108,12.32952,500.0,500.0,2.6989700043360187,4,4,201,7,1.24,2,248,2025-07-28,IT027042C2CIRKHCY5
375305,1784566,Isole,Dorsoduro,Entire home/apt,45.43309,12.32188,183.0,183.0,2.2624510897304293,3,3,262,4,1.61,2,328,2025-06-01,IT027042B4WUJYHKFB
376362,1532147,Isole,Dorsoduro,Entire home/apt,45.43247,12.31798,102.0,102.0,2.0086001717619175,2,2,58,10,0.36,1,0,2025-08-26,IT027042C2A9BMNVO7
412848,2054352,Isole,Giudecca,Entire home/apt,45.4248,12.33663,162.0,162.0,2.2095150145426308,2,2,58,0,0.47,1,301,2022-05-02,IT027042C2SJIQ33FY
420146,2089352,Isole,Castello,Private room,45.43771,12.34641,103.0,103.0,2.012837224705172,2,2,610,43,3.74,1,266,2025-09-02,IT027042C17WLBP5MA
423767,1981478,Isole,Cannaregio,Entire home/apt,45.44243,12.32436,140.0,140.0,2.146128035678238,31,31,159,0,1.08,1,265,2018-03-12,
429750,2136473,Isole,Dorsoduro,Entire home/apt,45.43193,12.3223,193.0,193.0,2.285557309007774,3,3,98,15,0.65,1,89,2025-08-16,IT027042B4UHIEGMAS
431287,2138358,Isole,Sant'Elena,Entire home/apt,45.4294,12.3603,112.0,112.0,2.0492180226701815,3,3,349,30,2.15,1,43,2025-08-26,IT027042C2PK2NAMWT
441868,2193613,Isole,Santa Croce,Entire home/apt,45.44102,12.32862,214.0,214.0,2.330413773349191,3,3,552,51,3.42,1,226,2025-09-02,IT027042C2IABFLVN5
442154,2196999,Isole,Dorsoduro,Entire home/apt,45.43184,12.32371,127.0,127.0,2.103803720955957,1,1,246,26,1.56,4,317,2025-08-17,IT027042B4VHEACL8S
474357,2351876,Isole,Giudecca,Entire home/apt,45.42791,12.32116,619.0,619.0,2.791690649020118,2,2,80,6,0.51,1,359,2025-06-26,IT027042C25OQJCNUN
476112,2360430,Isole,San Marco,Entire home/apt,45.433341,12.336277,370.0,370.0,2.568201724066995,3,3,158,1,1.0,2,241,2025-08-25,IT027042B4R2X796WJ
482466,2368512,Isole,Dorsoduro,Entire home/apt,45.43219,12.32104,153.0,153.0,2.184691430817599,3,3,208,34,1.32,1,169,2025-09-07,IT027042C22K7EI5Z9
483901,2396006,Isole,Giudecca,Entire home/apt,45.4279,12.31999,136.0,136.0,2.1335389083702174,2,2,99,0,0.65,1,277,2024-05-26,IT027042C2KPZPXRTS
487634,2320717,Isole,Cannaregio,Entire home/apt,45.43849,12.33772,502.0,502.0,2.7007037171450192,3,3,231,9,1.46,1,246,2025-07-26,IT027042B4XKC2IIZH
494629,1438903,Isole,San Marco,Entire home/apt,45.435159,12.336503,341.0,341.0,2.5327543789924976,7,7,62,2,0.39,17,326,2024-10-27,IT027042C2IZQS6LEE
495857,1509668,Isole,Santa Croce,Entire home/apt,45.44132,12.32479,199.0,199.0,2.298853076409707,2,2,1001,80,6.2,1,334,2025-09-02,IT027042B4JQSWWQL8
505177,3736168,Isole,Castello,Entire home/apt,45.4349,12.34168,345.0,345.0,2.537819095073274,1,1,323,48,2.03,25,335,2025-09-06,IT027042B4EJTZPP82
509641,2508340,Isole,Cannaregio,Entire home/apt,45.44475,12.32556,271.0,271.0,2.432969290874406,2,2,193,11,1.23,20,219,2025-08-25,IT027042B4ZHYGAXZV
511064,2508340,Isole,Cannaregio,Entire home/apt,45.44468,12.32514,170.0,170.0,2.230448921378274,3,3,64,2,0.41,20,282,2025-06-01,IT027042B4SFBL7I96
522028,2306935,Isole,Dorsoduro,Entire home/apt,45.43544,12.32491,107.0,107.0,2.0293837776852097,2,2,361,16,2.25,1,173,2025-09-06,IT027042C2WDL8MPV4
531274,2604353,Isole,Cannaregio,Private room,45.44039,12.33876,129.0,129.0,2.110589710299249,3,3,426,33,2.66,1,173,2025-08-31,IT027042C2HLWQ3QU8
531863,2613819,Isole,Dorsoduro,Entire home/apt,45.42965,12.33195,158.0,158.0,2.1986570869544226,2,2,360,56,2.25,1,260,2025-09-07,IT027042C2SGL3SYNP
540832,2658606,Isole,Santa Croce,Entire home/apt,45.44013,12.32378,263.0,263.0,2.419955748489758,3,3,143,7,0.98,1,335,2025-06-30,IT027042C2JZACYLIT
544834,2679233,Isole,San Marco,Entire home/apt,45.43556,12.33504,186.0,186.0,2.2695129442179165,4,4,334,35,2.12,1,128,2025-09-04,IT027042C2D86S27EB
544984,2679513,Isole,Dorsoduro,Entire home/apt,45.43327,12.31684,101.0,101.0,2.0043213737826426,3,3,442,34,2.78,1,132,2025-09-10,IT027042C2VPMISRUP
563510,2634978,Isole,Santa Croce,Entire home/apt,45.43976,12.32405,565.0,565.0,2.7520484478194387,1,1,242,22,1.63,142,317,2025-08-15,IT027042B4FP4CRU8D
567154,2790016,Isole,Giudecca,Entire home/apt,45.42437,12.32408,180.0,180.0,2.255272505103306,2,2,125,4,0.79,1,349,2025-09-04,IT027042C2CWLH4EZA
574922,2635450,Isole,San Polo,Entire home/apt,45.43884,12.33321,165.0,165.0,2.2174839442139063,2,2,404,58,2.56,1,312,2025-09-01,IT027042C2SC27L27K
589316,2906995,Isole,Lido,Entire home/apt,45.41234,12.37091,121.0,121.0,2.08278537031645,3,3,100,4,0.67,3,135,2025-06-08,IT027042C2HKWCPZEZ
603168,2985972,Isole,Cannaregio,Private room,45.44582,12.32494,100.0,100.0,2.0,3,3,612,47,3.9,3,252,2025-08-23,IT027042C20E08PR6M
617429,3060084,Isole,San Marco,Hotel room,45.434,12.33068,237.0,237.0,2.374748346010104,1,1,138,7,1.82,8,235,2025-08-01,IT027042B43DQF4FFN
618422,3063776,Isole,San Polo,Entire home/apt,45.43827,12.33308,186.0,186.0,2.2695129442179165,3,3,444,33,2.8,1,171,2025-08-14,IT027042B4VFJA4LUW
630388,381172,Isole,Castello,Entire home/apt,45.43818,12.34618,93.0,93.0,1.968482948553935,3,3,247,26,1.59,1,63,2025-09-01,IT027042C2XKPCFB26
634018,3156876,Terraferma,Marghera,Private room,45.47456,12.22742,52.0,52.0,1.7160033436347992,4,4,462,33,3.09,5,336,2025-08-24,IT027042C1QOKNW446
634685,3161400,Terraferma,Marghera Catene,Private room,45.47796,12.21313,66.0,66.0,1.8195439355418688,3,3,420,17,2.8,7,356,2025-08-03,IT027042C2Y4AIS5J7
648497,3215031,Isole,San Polo,Entire home/apt,45.43767,12.33022,114.0,114.0,2.0569048513364727,3,3,230,0,1.5,2,0,2020-04-28,IT027042B4FE2HUC39
649092,2399510,Isole,Cannaregio,Entire home/apt,45.43957,12.33808,172.0,172.0,2.2355284469075487,1,1,231,30,1.47,2,180,2025-08-14,IT027042C2HRQREIZ6
650767,3268637,Isole,Castello,Entire home/apt,45.43521,12.34072,201.0,201.0,2.303196057420489,2,2,86,4,0.54,2,111,2025-05-29,IT027042C2JO6TJEEH
655245,3161400,Terraferma,Marghera,Private room,45.47633,12.21519,60.0,60.0,1.7781512503836436,2,2,427,29,2.84,7,350,2025-09-06,IT027042C2Y4AIS5J7
658038,3317001,Isole,Lido,Private room,45.41376,12.37172,103.0,103.0,2.012837224705172,1,1,1,1,0.34,1,53,2025-06-15,IT027042B4GCCBBEJG
689490,2825961,Isole,San Marco,Entire home/apt,45.43372,12.32935,415.0,415.0,2.6180480967120925,2,2,367,17,2.4,2,227,2025-08-22,IT027042C2ZNGJ6YRA
693812,3549494,Isole,Giudecca,Entire home/apt,45.42567,12.33525,163.0,163.0,2.2121876044039577,2,2,65,1,0.45,7,358,2024-10-13,IT027042B4S8HI3VX8
694828,3556311,Isole,Cannaregio,Entire home/apt,45.44092,12.34142,100.0,100.0,2.0,3,3,540,44,3.46,1,132,2025-08-16,IT027042C2SF5FIWVI
703732,3613869,Terraferma,Chirignago,Entire home/apt,45.4816,12.19231,72.0,72.0,1.8573324964312685,3,3,334,38,2.22,1,302,2025-08-27,IT027042C2XOQ6BZSX
707434,3206872,Isole,Dorsoduro,Entire home/apt,45.43405,12.32523,214.0,214.0,2.330413773349191,4,4,270,14,1.72,1,246,2025-07-18,IT027042C22C9BCZQA
713783,3674980,Isole,Castello,Entire home/apt,45.43896,12.34161,218.0,218.0,2.3384564936046046,3,3,97,11,0.65,4,81,2025-07-20,IT027042C2W6BHDETE
713788,3674980,Isole,Cannaregio,Entire home/apt,45.44068,12.3402,125.0,125.0,2.0969100130080562,2,2,62,3,0.4,4,91,2025-05-24,IT027042C2W6BHDETE
719981,3715828,Isole,Cannaregio,Entire home/apt,45.44637,12.31907,126.0,126.0,2.100370545117563,6,6,239,2,1.52,1,194,2025-07-14,IT027042C1L6467W5S
740308,3874113,Isole,Castello,Private room,45.43661,12.34375,204.0,204.0,2.3096301674258988,1,1,12,7,0.33,4,147,2025-08-29,IT027042C1PR6EKDD6
740310,3874113,Isole,Castello,Entire home/apt,45.435649,12.342884,289.0,289.0,2.4608978427565478,1,1,151,61,1.14,4,158,2025-08-25,IT027042C1PR6EKDD6
741425,3880254,Isole,Santa Croce,Entire home/apt,45.43685,12.32382,133.0,133.0,2.123851640967086,3,3,295,33,1.94,11,47,2025-08-26,IT027042C2H2PX6DD2
753936,1554828,Isole,Castello,Entire home/apt,45.43494,12.34185,226.0,226.0,2.3541084391474008,1,1,209,2,1.35,6,295,2025-08-09,IT027042B4YYP7WYYB
762335,4018771,Isole,Castello,Entire home/apt,45.43638,12.33979,116.0,116.0,2.0644579892269186,3,3,190,8,1.25,5,319,2025-07-22,IT027042C2ARSCYDLH
767581,4018771,Isole,Castello,Entire home/apt,45.43639,12.33978,123.0,123.0,2.089905111439398,3,3,288,43,1.89,5,320,2025-08-25,IT027042C2ARSCYDLH
769007,4018771,Isole,Castello,Entire home/apt,45.4364,12.33977,118.0,118.0,2.0718820073061255,3,3,382,56,2.46,5,297,2025-08-24,IT027042C2ARSCYDLH
769436,3223223,Isole,Cannaregio,Entire home/apt,45.44844,12.3275,129.0,129.0,2.110589710299249,3,3,40,2,0.28,1,153,2025-09-10,IT027042C27IRYGLQ6
772215,745553,Isole,Santa Croce,Entire home/apt,45.44153,12.32773,223.0,223.0,2.3483048630481607,3,3,77,0,0.5,4,283,2024-05-30,IT027042C2GKWADMQX
776996,4097735,Isole,Sant'Elena,Hotel room,45.42698,12.36046,130.0,130.0,2.113943352306837,3,3,207,0,1.33,4,9,2023-09-23,IT027042C2TQ5KUNU4
783211,4097735,Isole,Sant'Elena,Hotel room,45.42698,12.36046,140.0,140.0,2.146128035678238,3,3,127,0,0.83,4,13,2024-09-02,IT027042C1NMTFI8VQ
784879,2255199,Isole,Cannaregio,Entire home/apt,45.44448,12.32578,144.0,144.0,2.1583624920952498,4,4,91,2,0.61,1,108,2025-09-01,IT027042C2X8XUPCX9
785173,2508340,Isole,Santa Croce,Private room,45.43956,12.32288,159.0,159.0,2.2013971243204513,1,1,202,31,1.3,20,351,2025-08-06,IT027042A1B7W4C6YY
798826,4120295,Isole,Castello,Private room,45.43547,12.34733,126.0,126.0,2.100370545117563,2,2,264,21,1.75,5,294,2025-08-29,IT027042C1LQ7VKHFR
798846,4120295,Isole,Castello,Private room,45.43547,12.34733,108.0,108.0,2.03342375548695,2,2,511,15,3.36,5,270,2025-05-09,IT027042C1LQ7VKHFR
798869,4120295,Isole,Castello,Private room,45.43547,12.34733,126.0,126.0,2.100370545117563,2,2,300,9,2.01,5,309,2025-09-08,IT027042C1LQ7VKHFR
804777,3877860,Terraferma,Piave 1860,Entire home/apt,45.48743,12.23785,175.0,175.0,2.2430380486862944,3,3,24,4,0.24,1,353,2025-07-12,IT027042B4HO7JUIX4
806862,4217637,Isole,San Polo,Entire home/apt,45.43963,12.3344,235.0,235.0,2.3710678622717363,4,4,312,29,2.04,1,284,2025-08-29,IT027042C2GP75GHDA
807633,4249732,Isole,Santa Croce,Entire home/apt,45.44159,12.33069,142.0,142.0,2.1522883443830563,3,3,447,47,2.91,1,242,2025-09-06,IT027042C2F5P6CGFC
809281,4258092,Isole,Castello,Entire home/apt,45.43701,12.34786,160.0,160.0,2.204119982655925,7,7,107,11,0.73,3,283,2025-09-03,IT027042C2FS2YVHKB
819328,4302881,Isole,Castello,Entire home/apt,45.437387527986985,12.341768369078636,149.0,149.0,2.173186268412274,3,3,324,45,2.11,1,301,2025-09-08,IT027042C27HNUZVYG
831560,1974309,Isole,Santa Croce,Entire home/apt,45.44038,12.32807,153.0,153.0,2.184691430817599,3,3,370,29,2.39,4,149,2025-08-24,IT027042C2YKD3SPKZ
840779,4390954,Isole,Castello,Entire home/apt,45.43076,12.35606,195.0,195.0,2.290034611362518,2,2,308,25,2.06,1,84,2025-08-11,IT027042C2WUFVQRS3
846521,4420264,Isole,Lido,Entire home/apt,45.40293,12.36386,153.0,153.0,2.184691430817599,3,3,23,0,0.15,1,238,2023-09-21,IT027042C2WP8FREHC
855214,3290752,Isole,Castello,Entire home/apt,45.4382,12.34953,150.0,150.0,2.1760912590556813,31,31,32,1,0.21,1,253,2024-10-31,
861429,4512765,Isole,Santa Croce,Private room,45.43805,12.3217,75.0,75.0,1.8750612633917,2,2,694,51,4.58,2,139,2025-08-26,IT027042C2VIANCNLX
867034,4557370,Isole,Cannaregio,Entire home/apt,45.44526,12.32628,104.0,104.0,2.0170333392987803,3,3,35,0,0.23,6,287,2024-04-19,IT027042B4GEH7TAK2
